clan_id,clan_name_guess,emblem_path,tartan_path,notes
macgregor-monument,macgregor monument,assets/images/clans/emblems/macgregor-monument.jpg,,Uncertain classification for macgregor-monument.jpg
macdougall,macdougall,assets/images/clans/emblems/macdougall.jpg,assets/images/clans/tartans/macdougall.jpg,
gordon,gordon,assets/images/clans/emblems/gordon.jpg,assets/images/clans/tartans/gordon.jpg,
douglas,douglas,assets/images/clans/emblems/douglas.jpg,assets/images/clans/tartans/douglas.jpg,
stuart,stuart,assets/images/clans/emblems/stuart.jpg,assets/images/clans/tartans/stuart.jpg,
elliot,elliot,,assets/images/clans/tartans/elliot.jpg,
mackintosh,mackintosh,assets/images/clans/emblems/mackintosh.jpg,assets/images/clans/tartans/mackintosh.jpg,
cameron,cameron,assets/images/clans/emblems/cameron.jpg,assets/images/clans/tartans/cameron.jpg,
trong,trong,assets/images/clans/emblems/trong.jpg,,
wallace,wallace,assets/images/clans/emblems/wallace.jpg,assets/images/clans/tartans/wallace.jpg,
macpherson,macpherson,assets/images/clans/emblems/macpherson.jpg,assets/images/clans/tartans/macpherson.jpg,
graham,graham,assets/images/clans/emblems/graham.jpg,,
stewart,stewart,assets/images/clans/emblems/stewart.jpg,assets/images/clans/tartans/stewart.jpg,
campbell,campbell,assets/images/clans/emblems/campbell.jpg,assets/images/clans/tartans/campbell.jpg,
cameron-monument,cameron monument,assets/images/clans/emblems/cameron-monument.jpg,,Uncertain classification for cameron-monument.jpg
sinclair,sinclair,assets/images/clans/emblems/sinclair.jpg,assets/images/clans/tartans/sinclair.jpg,
donald,donald,assets/images/clans/emblems/donald.jpg,assets/images/clans/tartans/donald.jpg,
stuart-monument,stuart monument,assets/images/clans/emblems/stuart-monument.jpg,,Uncertain classification for stuart-monument.jpg
douglas-monument,douglas monument,assets/images/clans/emblems/douglas-monument.jpg,,Uncertain classification for douglas-monument.jpg
grant,grant,assets/images/clans/emblems/grant.jpg,assets/images/clans/tartans/grant.jpg,
mackenzie-monument,mackenzie monument,assets/images/clans/emblems/mackenzie-monument.jpg,,Uncertain classification for mackenzie-monument.jpg
scott,scott,assets/images/clans/emblems/scott.jpg,assets/images/clans/tartans/scott.jpg,
erskine,erskine,assets/images/clans/emblems/erskine.jpg,assets/images/clans/tartans/erskine.jpg,
campbell-monument,campbell monument,assets/images/clans/emblems/campbell-monument.jpg,,Uncertain classification for campbell-monument.jpg
guthrie-monument,guthrie monument,assets/images/clans/emblems/guthrie-monument.jpg,,Uncertain classification for guthrie-monument.jpg
eliott,eliott,assets/images/clans/emblems/eliott.jpg,,
mackenzie-1,mackenzie 1,,assets/images/clans/tartans/mackenzie-1.jpg,
cunningham,cunningham,assets/images/clans/emblems/cunningham.jpg,assets/images/clans/tartans/cunningham.jpg,
murray,murray,assets/images/clans/emblems/murray.jpg,assets/images/clans/tartans/murray.jpg,
guthrie-t,guthrie t,assets/images/clans/emblems/guthrie-t.jpg,,
erskine-monument,erskine monument,assets/images/clans/emblems/erskine-monument.jpg,,Uncertain classification for erskine-monument.jpg
macgregor,macgregor,assets/images/clans/emblems/macgregor.jpg,assets/images/clans/tartans/macgregor.jpg,
fraser-monument,fraser monument,assets/images/clans/emblems/fraser-monument.jpg,,Uncertain classification for fraser-monument.jpg
chattan,chattan,assets/images/clans/emblems/chattan.jpg,assets/images/clans/tartans/chattan.jpg,
fraser,fraser,assets/images/clans/emblems/fraser.jpg,assets/images/clans/tartans/fraser.jpg,
carnegie,carnegie,assets/images/clans/emblems/carnegie.jpg,assets/images/clans/tartans/carnegie.jpg,
guthrie,guthrie,assets/images/clans/emblems/guthrie.jpg,assets/images/clans/tartans/guthrie.jpg,
ramsay,ramsay,assets/images/clans/emblems/ramsay.jpg,,
castlehome,castlehome,assets/images/clans/emblems/castlehome.jpg,,Uncertain classification for castlehome.jpg
macleod,macleod,assets/images/clans/emblems/macleod.jpg,assets/images/clans/tartans/macleod.jpg,
carnegie-monument,carnegie monument,assets/images/clans/emblems/carnegie-monument.jpg,,Uncertain classification for carnegie-monument.jpg
leslie,leslie,assets/images/clans/emblems/leslie.jpg,assets/images/clans/tartans/leslie.jpg,
gordon-monument,gordon monument,assets/images/clans/emblems/gordon-monument.jpg,,Uncertain classification for gordon-monument.jpg
macleod-monument,macleod monument,assets/images/clans/emblems/macleod-monument.jpg,,Uncertain classification for macleod-monument.jpg
lindsay,lindsay,assets/images/clans/emblems/lindsay.jpg,assets/images/clans/tartans/lindsay.jpg,
macdonald,macdonald,assets/images/clans/emblems/macdonald.jpg,,
mackenzie,mackenzie,assets/images/clans/emblems/mackenzie.jpg,assets/images/clans/tartans/mackenzie.jpg,
snclair,snclair,,assets/images/clans/tartans/snclair.jpg,
trong-monument,trong monument,assets/images/clans/emblems/trong-monument.jpg,,
cunningham-monument,cunningham monument,assets/images/clans/emblems/cunningham-monument.jpg,,Uncertain classification for cunningham-monument.jpg
lindsay-monument,lindsay monument,assets/images/clans/emblems/lindsay-monument.jpg,,Uncertain classification for lindsay-monument.jpg
wallace-monument,wallace monument,assets/images/clans/emblems/wallace-monument.jpg,,Uncertain classification for wallace-monument.jpg
murray-monument,murray monument,assets/images/clans/emblems/murray-monument.jpg,,Uncertain classification for murray-monument.jpg
cameron-monument2,cameron monument2,assets/images/clans/emblems/cameron-monument2.jpg,,Uncertain classification for cameron-monument2.jpg
ogilvy,ogilvy,assets/images/clans/emblems/ogilvy.jpg,,
